Summary,Description,Start Date,Due Date,Epic Name,Labels
"[Dunham Summit] Phase 1: Mission & Strategy","Event: Dunham Summit\nLocation: Lake Buena Vista, FL\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nPrimary objective defined, Success targets set, Faith alignment approved",2025-09-16,2025-10-14,"Dunham Summit",event-marketing
"[Dunham Summit] Phase 2: Theme & Audience","Event: Dunham Summit\nLocation: Lake Buena Vista, FL\nPhase 2: Theme & Audience\n\nKey Deliverables:\nMessaging aligned, Target personas defined, Qualification criteria finalized",2025-10-28,2025-11-11,"Dunham Summit",event-marketing
"[Dunham Summit] Phase 3: Systems & Planning","Event: Dunham Summit\nLocation: Lake Buena Vista, FL\nPhase 3: Systems & Planning\n\nKey Deliverables:\nLead capture configured, Run-of-show coordination",2025-11-25,2025-12-09,"Dunham Summit",event-marketing
"[Dunham Summit] Phase 4: Final Prep","Event: Dunham Summit\nLocation: Lake Buena Vista, FL\nPhase 4: Final Prep\n\nKey Deliverables:\nStaffing completed, On-site owner assigned",2025-12-23,2026-01-05,"Dunham Summit",event-marketing
"[Dunham Summit] Phase 5: Execution","Event: Dunham Summit\nLocation: Lake Buena Vista, FL\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-01-06,2026-01-08,"Dunham Summit",event-marketing
"[Dunham Summit] Phase 6: Follow-up","Event: Dunham Summit\nLocation: Lake Buena Vista, FL\nPhase 6: Follow-up\n\nKey Deliverables:\nPost-event nurture activated, Leads uploaded to CRM",2026-01-09,2026-01-15,"Dunham Summit",event-marketing
"[Dunham Summit] Phase 7: ROI Analysis","Event: Dunham Summit\nLocation: Lake Buena Vista, FL\nPhase 7: ROI Analysis\n\nKey Deliverables:\nFunnel report delivered",2026-02-07,2026-02-07,"Dunham Summit",event-marketing
"[Agency Retreat] Phase 1: Mission & Strategy","Event: Agency Retreat\nLocation: San Diego\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nEvent purpose approved, Success targets set, Budget & ROI approved, Faith guardrails documented",2025-12-31,2026-01-28,"Agency Retreat",event-marketing
"[Agency Retreat] Phase 2: Theme & Audience","Event: Agency Retreat\nLocation: San Diego\nPhase 2: Theme & Audience\n\nKey Deliverables:\nVisual identity finalized, Messaging framework aligned, ICP list finalized, Invitation strategy approved",2026-02-11,2026-02-25,"Agency Retreat",event-marketing
"[Agency Retreat] Phase 3: Systems & Planning","Event: Agency Retreat\nLocation: San Diego\nPhase 3: Systems & Planning\n\nKey Deliverables:\nPlatforms configured (HubSpot, analytics), Critical path & risk register approved",2026-03-11,2026-03-25,"Agency Retreat",event-marketing
"[Agency Retreat] Phase 4: Final Prep","Event: Agency Retreat\nLocation: San Diego\nPhase 4: Final Prep\n\nKey Deliverables:\nOn-site experience flow finalized, Staffing plan locked, Strategic/Creative/Ops approvals complete",2026-04-08,2026-04-21,"Agency Retreat",event-marketing
"[Agency Retreat] Phase 5: Execution","Event: Agency Retreat\nLocation: San Diego\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-04-22,2026-04-24,"Agency Retreat",event-marketing
"[Agency Retreat] Phase 6: Follow-up","Event: Agency Retreat\nLocation: San Diego\nPhase 6: Follow-up\n\nKey Deliverables:\n90-day nurture plan activated, Thank you emails sent, Leads uploaded to CRM",2026-04-25,2026-05-01,"Agency Retreat",event-marketing
"[Agency Retreat] Phase 7: ROI Analysis","Event: Agency Retreat\nLocation: San Diego\nPhase 7: ROI Analysis\n\nKey Deliverables:\n30/60/90-day performance report delivered",2026-05-24,2026-05-24,"Agency Retreat",event-marketing
"[NRB Convention] Phase 1: Mission & Strategy","Event: NRB Convention\nLocation: Nashville, TN\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nPrimary objective defined, Meeting & deal targets set, Speaking CTA defined, Faith alignment approved",2025-10-28,2025-11-25,"NRB Convention",event-marketing
"[NRB Convention] Phase 2: Theme & Audience","Event: NRB Convention\nLocation: Nashville, TN\nPhase 2: Theme & Audience\n\nKey Deliverables:\nBooth & stage messaging aligned, Target personas defined, Booth visuals/slides/handouts approved",2025-12-09,2025-12-23,"NRB Convention",event-marketing
"[NRB Convention] Phase 3: Systems & Planning","Event: NRB Convention\nLocation: Nashville, TN\nPhase 3: Systems & Planning\n\nKey Deliverables:\nLead capture & CRM tested, Run-of-show coordination complete",2026-01-06,2026-01-20,"NRB Convention",event-marketing
"[NRB Convention] Phase 4: Final Prep","Event: NRB Convention\nLocation: Nashville, TN\nPhase 4: Final Prep\n\nKey Deliverables:\nBooth experience trained, Meeting booking mechanism live, Staffing completed, On-site owner assigned",2026-02-03,2026-02-16,"NRB Convention",event-marketing
"[NRB Convention] Phase 5: Execution","Event: NRB Convention\nLocation: Nashville, TN\nPhase 5: Execution\n\nKey Deliverables:\nDaily performance check-ins completed",2026-02-17,2026-02-20,"NRB Convention",event-marketing
"[NRB Convention] Phase 6: Follow-up","Event: NRB Convention\nLocation: Nashville, TN\nPhase 6: Follow-up\n\nKey Deliverables:\nPost-event nurture sequence activated, Leads uploaded to CRM",2026-02-21,2026-02-27,"NRB Convention",event-marketing
"[NRB Convention] Phase 7: ROI Analysis","Event: NRB Convention\nLocation: Nashville, TN\nPhase 7: ROI Analysis\n\nKey Deliverables:\n30/60/90-day funnel report delivered",2026-03-22,2026-03-22,"NRB Convention",event-marketing
"[March Event 1] Phase 1: Mission & Strategy","Event: March Event 1\nLocation: TBD\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nEvent purpose approved, Success targets set, Budget & ROI approved, Faith guardrails documented",2025-11-09,2025-12-07,"March Event 1",event-marketing
"[March Event 1] Phase 2: Theme & Audience","Event: March Event 1\nLocation: TBD\nPhase 2: Theme & Audience\n\nKey Deliverables:\nVisual identity finalized, Messaging framework aligned, ICP list finalized, Invitation strategy approved",2025-12-21,2026-01-04,"March Event 1",event-marketing
"[March Event 1] Phase 3: Systems & Planning","Event: March Event 1\nLocation: TBD\nPhase 3: Systems & Planning\n\nKey Deliverables:\nPlatforms configured (HubSpot, analytics), Critical path & risk register approved",2026-01-18,2026-02-01,"March Event 1",event-marketing
"[March Event 1] Phase 4: Final Prep","Event: March Event 1\nLocation: TBD\nPhase 4: Final Prep\n\nKey Deliverables:\nOn-site experience flow finalized, Staffing plan locked, Strategic/Creative/Ops approvals complete",2026-02-15,2026-02-28,"March Event 1",event-marketing
"[March Event 1] Phase 5: Execution","Event: March Event 1\nLocation: TBD\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-03-01,2026-03-01,"March Event 1",event-marketing
"[March Event 1] Phase 6: Follow-up","Event: March Event 1\nLocation: TBD\nPhase 6: Follow-up\n\nKey Deliverables:\n90-day nurture plan activated, Thank you emails sent, Leads uploaded to CRM",2026-03-02,2026-03-08,"March Event 1",event-marketing
"[March Event 1] Phase 7: ROI Analysis","Event: March Event 1\nLocation: TBD\nPhase 7: ROI Analysis\n\nKey Deliverables:\n30/60/90-day performance report delivered",2026-03-31,2026-03-31,"March Event 1",event-marketing
"[March Event 2] Phase 1: Mission & Strategy","Event: March Event 2\nLocation: TBD\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nEvent purpose approved, Success targets set, Budget & ROI approved, Faith guardrails documented",2025-11-27,2025-12-25,"March Event 2",event-marketing
"[March Event 2] Phase 2: Theme & Audience","Event: March Event 2\nLocation: TBD\nPhase 2: Theme & Audience\n\nKey Deliverables:\nVisual identity finalized, Messaging framework aligned, ICP list finalized, Invitation strategy approved",2026-01-08,2026-01-22,"March Event 2",event-marketing
"[March Event 2] Phase 3: Systems & Planning","Event: March Event 2\nLocation: TBD\nPhase 3: Systems & Planning\n\nKey Deliverables:\nPlatforms configured (HubSpot, analytics), Critical path & risk register approved",2026-02-05,2026-02-19,"March Event 2",event-marketing
"[March Event 2] Phase 4: Final Prep","Event: March Event 2\nLocation: TBD\nPhase 4: Final Prep\n\nKey Deliverables:\nOn-site experience flow finalized, Staffing plan locked, Strategic/Creative/Ops approvals complete",2026-03-05,2026-03-18,"March Event 2",event-marketing
"[March Event 2] Phase 5: Execution","Event: March Event 2\nLocation: TBD\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-03-19,2026-03-19,"March Event 2",event-marketing
"[March Event 2] Phase 6: Follow-up","Event: March Event 2\nLocation: TBD\nPhase 6: Follow-up\n\nKey Deliverables:\n90-day nurture plan activated, Thank you emails sent, Leads uploaded to CRM",2026-03-20,2026-03-26,"March Event 2",event-marketing
"[March Event 2] Phase 7: ROI Analysis","Event: March Event 2\nLocation: TBD\nPhase 7: ROI Analysis\n\nKey Deliverables:\n30/60/90-day performance report delivered",2026-04-18,2026-04-18,"March Event 2",event-marketing
"[Rangers vs. Yankees VIP] Phase 1: Mission & Strategy","Event: Rangers vs. Yankees VIP\nLocation: Dallas, TX\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nEvent purpose approved, Success targets set, Budget & ROI approved, Faith guardrails documented",2026-01-05,2026-02-02,"Rangers vs. Yankees VIP",event-marketing
